kp=.5 kd=70
moved on its own slowly

desired heading  actual heading  ranger reading  heading adjustment      rudder pw       error   voltage
           900,           2740,            100,              0,           3500,           1760,           8.20
           900,           2740,            100,              0,           2610,           1760,           8.04
           900,           2742,            100,              0,           2190,           1758,           8.04
           900,           2733,            100,              0,           3030,           1767,           7.76
           900,           2756,            100,              0,           2470,           1744,           8.00
           900,           2772,            100,              0,           2680,           1728,           8.04
           900,           2769,            100,              0,           2820,           1731,           8.04
           900,           2780,            100,              0,           2540,           1720,           8.04
           900,           2830,            100,              0,           2470,           1670,           8.04
           900,           2867,            100,              0,           2540,           1633,           7.96
           900,           2852,            100,              0,           3170,           1648,           7.68
           900,           2898,             84,              0,           2470,           1602,           8.04
           900,           2964,            100,              0,           2890,           1536,           8.04
           900,           2965,            1           900,           29w„ä           900,           2989,            100,              0,           2330,           1511,           7.72
           900,           2971ä           900,           2975,            100,              0,           2680,           1525,           8.04
           900,           2996,            100,              0,           2750,           1504,           8.04
           900,           2995,            100,              0,           2540,           1505,           8.04
           900,           2999,            100,              0,           2540,           1501,           8.04
           900,           3004,            100,              0,           2540,           1496,           8.04
           900,           3007,            100,              0,           2750,           1493,           8.04
           900,           3004,            100-              0,           2960,           1496,           8.00
           900,           3022Ç           900,           3014,            100,              0,           2890,           1486,           8.04
           900,           3004,                       900,           3018,            100,              0,           2750,           1482,           8.04
           900,           3016,            100,              0,           3170,           1484,           8.04
           900,           3002,            100,              0,           2820,           1498,           8.04
           900,           3016,            100,              0,           2680,           1484,           8.04
           900,           3013,            100,              0,           2750,           1487,           8.04
           900,           3012,            100,              0,           2610,           1488,           8.04
           900,           3034,            100,              0,           2190,           1466,           8.04
           900,           3037,            100,              0,           3100,           1463,           8.04
           900,           3041,            100,              0,           2260,           1459,           8.04
           900,           3085,            100,              0,           2680,           1415,           8.04
           900,           3088,                    900,           3082,            100,              0,           2470,           1418,           8.04
           900,           3109,             93,              0,           2470,           1391,           8.00
           900,           3100,            100,              0,           2680,           1400,           8.04
           900,           3101,            100,              0,           2610,           1399,           8.04
           900,           3097,            100,              0,           2890,           1403,           8.00
           900,           3108,            100,              0,           2680,           1392,           8.04
           900,           3114,            100,              0,           2890,           1386,           8.00
           900,           3120,            100,              0,           2750,           1380,           8.04
           900,           3133,            100,              0,           2680,           1367,           8.04
           900,           3130,            100,              0,           2680,           1370,           8.04
           900,           3139,            100,              0,           2680,           1361,           8.04
           900,           3145,            100,              0,           2750,           1355,           8.04
           900,           3147,            100,              0,           2820,           1353,           8.04
           900,           3157,            100,              0,           2680,           1343,           8.04
           900,           3156,            100,              0,           2750,           1344,           8.04
           900,           3167,            100,              0,           2820,           1333,           8.04
           900,           3170,            100,              0,           2610,           1330,           8.04
           900,           3172,            100,              0,           2820,           1328,           8.04
           900,           3193,            100,              0,           2400,           1307,           8.04
           900,           3185,            100,              0,           3030,           1315,           8.04
           900,           3189,            100,              0,           2750,           1311,           8.04
           900,           3187,            100,              0,           2750,           1313,           8.04
           900,           3187,            100,              0,           2750,           1313,           8.04
           900,           3191,            100,              0,           2750,           1309,           8.04
           900,           3189,            100,              0,           2960,           1311,           7.88
           900,           3197,            100,              0,           2540,           1303,           8.04
           900,           3208,            100,              0,           2820,           1292,           8.04
           900,           3206,            100,              0,           2680,           1294,           8.04
           900,           3209,            100,              0,           2680,           1291,           8.04
           900,           3212,            100,              0,           2610,           1288,           8.04
